post_title,meta:product_tabs_tab_considerations,meta:product_tabs_tab_features,meta:product_tabs_tab_manuals,meta:product_tabs_tab_product_details,meta:product_tabs_tab_specifications,meta:product_tabs_tab_upgrade,meta:product_tabs_tab_video,sku
SOKIII XL-Slide Out Awning Spring,"
",,,,,,,R001165XL
"SL & XL SL Window Awning Spring Left - BLACK for awnings 12'1"" to 15'","
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>CAUTION: When removed from the arm, the spring is under extreme tension and will unwind quickly.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree Standard Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R001171BLK
"SL & XL SL Window Awning Spring Left - WHITE for awnings 12'1"" to 15'","
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>CAUTION: When removed from the arm, the spring is under extreme tension and will unwind quickly.</li> <li>Also available in Black.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree Standard Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R001171WHT
"SL & XL SL Window Awning Spring Right - BLACK for awnings  12'1"" to 15'","
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>CAUTION: When removed from the arm, the spring is under extreme tension and will unwind quickly.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree Standard Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R001172BLK
"SL & XL SL Window Awning Spring Right - WHITE for awnings 12'1"" to 15'","
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>CAUTION: When removed from the arm, the spring is under extreme tension and will unwind quickly.</li> <li>Also available in Black.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree Standard Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R001172WHT
SL & XL SL Window Awning Spring Right - BLACK for awnings 3' to 8',"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>CAUTION: When removed from the arm, the spring is under extreme tension and will unwind quickly.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree Standard Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R001182BLK
SL & XL SL Window Awning Spring Right - WHITE for awnings 3' to 8',"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>CAUTION: When removed from the arm, the spring is under extreme tension and will unwind quickly.</li> <li>Also available in Black.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree Standard Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R001182WHT
SL & XL SL Window Awning Spring Left - BLACK for awnings 3' to 8',"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>CAUTION: When removed from the arm, the spring is under extreme tension and will unwind quickly.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree Standard Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R001183BLK
SL & XL SL Window Awning Spring Left - WHITE for awnings 3' to 8',"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>CAUTION: When removed from the arm, the spring is under extreme tension and will unwind quickly.</li> <li>Also available in Black.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree Standard Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R001183WHT
"SL & XL SL Window Awning Spring Right - BLACK for awnings  8'1"" to 12'","
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>CAUTION: When removed from the arm, the spring is under extreme tension and will unwind quickly.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree Standard Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R001184BLK
"SL & XL SL Window Awning Spring Right - WHITE for awnings  8'1"" to 12'","
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>CAUTION: When removed from the arm, the spring is under extreme tension and will unwind quickly.</li> <li>Also available in Black.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree Standard Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R001184WHT
"SL & XL SL Window Awning Spring Left - BLACK for awnings  8'1"" to 12'","
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>CAUTION: When removed from the arm, the spring is under extreme tension and will unwind quickly.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree Standard Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R001185BLK
"SL & XL SL Window Awning Spring Left - WHITE for awnings  8'1"" to 12'","
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Determine length of your window awning by measuring from center arm to center arm.</li> <li>CAUTION: When removed from the arm, the spring is under extreme tension and will unwind quickly.</li> <li>Also available in White.</li> <li>Replacement spring ships with no tension.</li> <li>WARNING!-This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li>Will not work with Carefree Standard Window Awnings</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R001185WHT
Center Latch Pin - SOK III & XL SOK III,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>For covers 12 feet and longer: Locate the latch lever at the center of the cover for XL Models locate in center of Left Cover and center of Right Cover. Using a screw driver or similar tool, push the lever to the left and hold; carefully pull the center of the cover out until the pin clears the latch.</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R001186
"Tubular Motor Kit - Freedom, OTD/WA",,,,,,,,R001189
"END PLATE HOUSING-LH,BLK",,,,,,,,R001190BLK
"END PLATE HOUSING-RH,BLK",,,,,,,,R001191BLK
"Gas Spring, Attach Kit, Eclipse",,,,,,,,R001253
"KIT,DEFLECTOR SPACER,XL SUMMIT",,,,,,,,R001258
Head Attach - Eclipse Arms Series 1,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>CAUTION: The arms are under tension from the gas shocks. When the motor is disengaged from the gears, the roller tube will be able to free spin and both arms will extend from the gas shock tension. Use extreme care and hold the arms in position. It will be necessary to have at least one other person holding the idler arm.</li> <li>CAUTION: Do not allow the roll bar to drop toward the ground. The twisting motion can cause serious damage to the idler arm.</li> <li>Tip: When the nut is removed, the bolt will slide out of the arm mounting block inside the arm channel. Placing tape on the head of the mounting bolt and the spacers will prevent the bolt and the spacers from falling out when the nut and motor are removed ( see Service Manual located on website ).</li>
</ul>",,,,,,,R001323
Travel'r Motor Assembly Kit Black,,,,,,,,R001326BLK
Travel'r Motor Assembly Kit White,,,,,,,,R001326WHT
Travel'r Idler Assembly Kit Black,,,,,,,,R001327BLK
Travel'r Idler Assembly Kit White,,,,,,,,R001327WHT
Travel'r Gas Spring Black,,,,,,,,R001331
"SUMMIT COVER BUMPER,QTY 4",,,,,,,,R001364
"KIT,MOUNTING PLATE",,,,,,,,R001373
"KIT, END PLATE, LEAD RAIL, RH",,,,,,,,R001374
"KIT, END PLATE, LEAD RAIL, LH",,,,,,,,R001379
"KIT, SPRING ARM, 7', LH",,,,,,,,R001380
"KIT, SPRING ARM, 7', RH",,,,,,,,R001381
"KIT,SPRING ARM SUPPORT",,,,,,,,R001387
"KIT,REMOTE,418MHZ,APEX2",,,,,,,,R001391
"ROLLER TUBE ENDPLUG,LH,RFTOP",,,,,,,,R001399
Travel'r single arm black steep pitch,,,,,,,,R001507BLK
Travel'r single arm white steep pitch,,,,,,,,R001507WHT
Travel'r Steep Pitch Single Arm Idler Black,,,,,,,,R001508BLK
Travel'r Steep Pitch Single Arm Idler White,,,,,,,,R001508WHT
"OWNERS KIT,ECLIPSE",,,,,,,,R001509
End Cap LH  - SOK III,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>End Cap is for screw attached covers. If cover is spring loaded you will need to remove spring located on cover for install ( refer to Service Manual on website).</li>
</ul>",,,,,,,R001520BLK
End Cap LH - SOK III,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>End Cap is for screw attached  covers. If cover is spring loaded you will need to remove spring located on cover for install ( refer to Service Manual on website).</li>
</ul>",,,,,,,R001520WHT
End Cap RH - SOK III,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>End Cap is for screw attached covers. If cover is spring loaded you will need to remove spring located on cover for install ( refer to Service Manual on website).</li>
</ul>",,,,,,,R001521BLK
End Cap RH - SOK III,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>End Cap is for screw attached covers. If cover is spring loaded you will need to remove spring located on cover for install ( refer to Service Manual on website).</li>
</ul>",,,,,,,R001521WHT
"KIT,MARQUEE TBLR MOTOR,2-SLOT",,,,,,,,R001531
Travel'r White Facia Kit,,,,,,,,R001532WHT
"SPACER,SUMMIT/SOKIII,QTY 2",,,,,,,,R001534
TELESCOPING HAND CRANK,,,,,,,,R001546-RP
End Cap  Left- Ascent Slide Out Awning,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>When replacing End Cap be aware that springs are wound and under tension. The spring locking pin must be inserted before continuing otherwise the roller tube can spin out of control and cause personal injury and/or property damage ( refer to Service Manual on website ).</li> <li>IMPORTANT NOTICE: The XL model has two springs. A second locking pin must also be inserted through the LH spindle and taped in place before replacement of End Cap ( refer to Service Manual on website ).</li>
</ul>",,,,,,,R001554BLK
"SPACER, REPLACEMENT",,,,,,,,R001555
End Cap  Right - Ascent Slide out Awnings,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>When replacing End Cap be aware that springs are wound and under tension. The spring locking pin must be inserted before continuing otherwise the roller tube can spin out of control and cause personal injury and/or property damage ( refer to Service Manual on website ).</li> <li>IMPORTANT NOTICE: The XL model has two springs. A second locking pin must also be inserted through the LH spindle and taped in place before replacement of End Cap ( refer to Service Manual on website ).</li>
</ul>",,,,,,,R001556BLK
"SPINDLE ASSY, LEFT HAND",,,,,,,,R001559
Spring Assy. Right - Ascent Slide out Awning,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>The springs are wound and under tension. The spring locking pins must be inserted before continuing otherwise the roller tube can spin out of control and cause personal injury and/or property damage.</li> <li>IMPORTANT NOTE: The XL model has two springs. A second spring locking pin must also be inserted through the LH spindle and taped in place before continuing.</li> <li>CAUTION: The spring is wound and under tension. When the pin is removed, the spindle will turn rapidly. To avoid personal injury, keep hands away from the spindle until the spring has unwound.</li> <li>Replacement spring ships with no tension.</li> <li>NOTE: Have a spring locking pin available. The pin should be a solid 3/16 x 1 1/4 shaft with a flat end such as a drill bit. If using a 3/16 cotter pin, cut the two legs flush so that the end is flat.</li> <li>
</li></ul>",,,,,,,R001560
Spring Assy. Left - XL Ascent Slide out Awning,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>The springs are wound and under tension. The spring locking pins must be inserted before continuing otherwise the roller tube can spin out of control and cause personal injury and/or property damage.</li> <li>IMPORTANT NOTE: The XL model has two springs. A second spring locking pin must also be inserted through the LH spindle and taped in place before continuing.</li> <li>CAUTION: The spring is wound and under tension. When the pin is removed, the spindle will turn rapidly. To avoid personal injury, keep hands away from the spindle until the spring has unwound.</li> <li>Replacement spring ships with no tension.</li> <li>NOTE: Have a spring locking pin available. The pin should be a solid 3/16 x 1 1/4 shaft with a flat end such as a drill bit. If using a 3/16 cotter pin, cut the two legs flush so that the end is flat.</li> <li>
</li></ul>",,,,,,,R001561
"BUMPER, FRONT COVER",,,,,,,,R001562
"DEFLECTOR GLIDE, 24""",,,,,,,,R001563
"KIT,MOUNTING,GAS SPRING,TRVL'R",,,,,,,,R001576
"SPINDLE ASSY,LH",,,,,,,,R001581
Spring Assy. Right - SOC,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>CAUTION: The spring is pre-wound and under tension. The spring locking pin must be inserted before continuing otherwise the roller tube can spin out of control and cause personal injury and/or property damage.</li> <li>On the right end of the roller tube, insert a spring locking pin through the bearing and spindle; it may be necessary to twist the roller to align the holes. The locking pin is a 3/16 x 1 1/4 cotter pin or equivalent. Place tape over the head of the pin to avoid the pin coming out.</li> <li>CAUTION: The spring is wound and under tension. When the pin is removed, the spindle will turn rapidly. To avoid personal injury, keep hands away from the spindle until the spring has unwound.</li> <li>Replacement spring ships with no tension.</li> <li>
</li></ul>",,,,,,,R001582
"PLUNGER KIT, WHT",,,,,,,,R001583
"PLUNGER KIT,BLK",,,,,,,,R001584
"EXT,CORD RETAINER,1.34'",,,,,,,,R001588
Satin Crank Assembly,,,,,,,,R001593SAT
"HARDWARE PK,ARM ATTACH,1 ARM",,,,,,,,R001595
"KIT,SWITCH ASSY",,,,,,,,R001605
"KIT, SPRING ARM, 3', LH",,,,,,,,R001607
"KIT, SPRING ARM, 3', RH",,,,,,,,R001608
"KIT,SPRING ARMS,3',STRONG",,,,,,,,R001609
"SPRING ARM,LEFT,BLACK,APEX",,,,,,,,R001612BLK
"SPRING ARM,RIGHT,BLACK,APEX",,,,,,,,R001614BLK
"RAMP KIT,LEADRAIL",,,,,,,,R001621
"ROLLER TUBE ENDPLUG,LH",,,,,,,,R001622
"ROLLER TUBE ENDPLUG,RH",,,,,,,,R001623
"KNUCKLE ASSY,CASE,LH",,,,,,,,R001626
"KNUCKLE ASSY,CASE,RH",,,,,,,,R001627
"ASSY,PIVOT 47,L",,,,,,,,R001628
"ASSY,PIVOT 47,R",,,,,,,,R001629
"HDWE PK,ARM ATTACH,1 ARM",,,,,,,,R001630
"RAFTER,CENTER,3.5-4M CAMPOUT",,,,,,,,R001640
Travel'r Adjustable Pitch Single Arm Black,,,,,,,,R001642BLK
Travel'r Adjustable Pitch Motor Single Arm White,,,,,,,,R001642WHT
Travel'r Adjustable Pitch Idler Single Arm Black,,,,,,,,R001643BLK
Travel'r Adjustable Pitch Idler Single Arm White,,,,,,,,R001643WHT
"KIT,MARQUEE TBLR MOTOR,3-SLOT",,,,,,,,R001651
"LT, SUPPORT ARM (3PC),FR WM",,,,,,,,R001654-001
"LT, SUPPORT ARM (2PC),FR WM",,,,,,,,R001654-002
"LT,SUPPORT ARM (3PC),SHT,FR WM",,,,,,,,R001654-003
"RT, SUPPORT ARM (3PC),FR WM",,,,,,,,R001654-101
"RT, SUPPORT ARM (2PC),FR WM",,,,,,,,R001654-102
"RT,SUPPORT ARM (3PC),SHT,FR WM",,,,,,,,R001654-103
"VERT SPRT LEG,FRDM RM,L,3M&LES",,,,,,,,R001655-001
"VERT SPRT LEG,FRDM RM,L,3.5&>",,,,,,,,R001655-002
"VERT SPRT LEG,FRDM RM,L,2.44M",,,,,,,,R001655-003
"VERT SPRT LEG,FRDM RM,R,3M&LES",,,,,,,,R001655-101
"VERT SPRT LEG,FRDM RM,R,3.5&>",,,,,,,,R001655-102
"VERT SPRT LEG,FRDM RM,R,2.44M",,,,,,,,R001655-103
"KIT-REPLACEMENT FLIPPER LATCH,ORANGE",,,,,,,,R001657
"ROLLER GUIDE,RH,FRDM RM,4.5-5M",,,,,,,,R001689
"KIT,LEG SUPPORT,FRDM RM,4.5-5M",,,,,,,,R001690
"KIT,LEAD RAIL GLIDE",,,,,,,,R001691
CENTER TRAY SUPPORT,,,,,,,,R001692
Travel'r Roller Kit,,,,,,,,R001697
"SLOT COVER,2-1' PIECES",,,,,,,,R001716
"LED STRIP,LONG,MARQUEE",,,,,,,,R001735
Remote & Controller Kit - Color LED,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Remote control provides simple push button on/off, adjustable dimming, 15 color choices and special effects ( flash, strobe and smooth ).</li> <li>Important Note: The remote uses an infrared signal to the control module. The top of the remote must be pointed at the infrared sensor on the control module.</li> <li>Tucking the connector under the canopy will securely hold and protect the connector during storage but may cause minor ""dimpling"" in the canopy.</li> <li>CAUTION: Make sure to disconnect and remove the control module before retracting the awning.</li> <li>
</li></ul>",,,,,,,R001763
"LEADRAIL CONNECTOR,FREEDOM RM",,,,,,,,R001776
"KIT,IDLER COVER,LATITUDE,WHT",,,,,,,,R001785-005
"KIT,IDLER COVER,LATITUDE,BLACK",,,,,,,,R001785-006
Pitch Adjustment Kit,,,,,,,,R001827
Longitude Valco Button,,,,,,,,R001828
Longitude Arm End Cap Black,,,,,,,,R001829-006
Longitude Hole Plug Kit White,,,,,,,,R001830-005
Longitude Hole Plug Kit Black,,,,,,,,R001830-006
Longitude Motor Cover Kit White,,,,,,,,R001831-005
Longitude Motor Cover Kit Black,,,,,,,,R001831-006
Longitude Replacement Motor,,,,,,,,R001832
Gear Box Longitude,,,,,,,,R001833
Longitude Idler Cover Kit White,,,,,,,,R001834-005
Longitude Idler Cover Kit Black,,,,,,,,R001834-006
Longitude Clip Hole Cover White,,,,,,,,R001835-005
Longitude Clip Hole Cover Black,,,,,,,,R001835-006
Longitude Retaining Clip,,,,,,,,R001836
Longitude Motor Single Arm Adjustable White,,,,,,,,R001838WHT
"LONGITUDE,1/2 BACK,ADJ,WHT",,,,,,,,R001839WHT
"MOTOR, 110V - Mirage, Apex, Paramount","
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Failure to secure the lead rail as described on Service Manual will allow the Spring Arms to unexpectantly to extend out possibly causing personal injury and damage the Awning. </li> <li>Important  Note: During installation of the Replacement Motor use the Manual Override procedure outlined in Service Manual ( available online) to open and close the awning.</li> <li>When pulling the Motor out of case, the Service Technician must use care to NOT break  or damage the Motor Cables.</li> <li>When Pulling Motor , DO NOT let the rollbar come out more than 1""; Otherwise the rollbar Idler will disengage from the opposite End Plate. If this occurs, reisnsert the Idler into the End Plate before continuing ( refer to to illustration under Canopy Replacement in Service Manual for Idler description).</li> <li>To test, restore power then extend and retract awning. </li> <li>It will be necessary to adjust the Motor Limits.</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R001853
LED Lights Replacement Remote and Receiver - White,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Remote control provides simple push button on/off, adjustable and dimmable functions</li> <li>Tucking the connector under the canopy will securely hold and protect the connector during storage but may cause minor ""dimpling"" in the canopy.</li> <li>CAUTION: Make sure to disconnect and remove the control module before retracting the awning.</li> <li>
</li></ul>",,,,,,,R001868
LED LIGHTS REPLACEMENT REMOTE-RGB COLOR,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Remote control provides simple push button on/off, adjustable dimming, 15 color choices and special effects ( flash, strobe and smooth ).</li> <li>Tucking the connector under the canopy will securely hold and protect the connector during storage but may cause minor ""dimpling"" in the canopy.</li> <li>CAUTION: Make sure to disconnect and remove the control module before retracting the awning.</li> <li>
</li></ul>",,,,,,,R001869
"LED,3000K,60LPM,5M,26"" LD",,,,,,,,R001884
Bluetooth Remote,,,,,,,,R001911
"FIAT DCTO,MTG PAD,FOR BS0009",,,,,,,,R001949
"BOTTOM BRACKET ASSY,SOA",,,,,,,,R00221
"BOTTOM BRACKET ASSY,SOA WHITE",,,,,,,,R00221WHT
BRACE HOOK W/SCREWS-OTDA,,,,,,,,R00222
"ARM ASSY,STRAIGHT,1/2SET,WHT",,,,,,,,R00358WHT
"SUB-ASSY,MOUNTING STRAP,TRUCKN",,,,,,,,R00369
Replacement Swivel Carport Foot,,,,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Works on Carefree Freedom Wall Mount, Roof Mount, Campout and Sidewinder II awnings.</li> <li>Rivet setting tool required for installation.</li> <li>Not compatible with other brands of awnings.</li> <li> <li> </li></li></ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,R00394
END CAP PAIR,,,,,,,,R00396
"ASSY,ARM SLIDER",,,,,,,,R00405
Spirit FX & Fiesta - Right - Front Upper Main Arm - SATIN for Universal Straight Arms,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Works exclusively with Carefree Spirit and Fiesta Awnings.</li> <li>Fits Carefree Universal Straight Arms with an awning rail to floor line height of 68"" to 81"".</li> <li>Works with Carefree 1997 and Newer model arms.</li> <li>WARNING: This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li> </li></ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R00410-301-06
Spirit FX & Fiesta - Right - Front Upper Main Arm - WHITE for Universal Straight Arms,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Works exclusively with Carefree Spirit and Fiesta Awnings.</li> <li>Fits Carefree Universal Straight Arms with an awning rail to floor line height of 68"" to 81"".</li> <li>Works with Carefree 1997 and Newer model arms.</li> <li>WARNING: This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li> </li></ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R00410-301-55
Spirit FX & Fiesta - Right - Front Upper Main Arm - BLACK for Universal Straight Arms,"
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Works exclusively with Carefree Spirit and Fiesta Awnings.</li> <li>Fits Carefree Universal Straight Arms with an awning rail to floor line height of 68"" to 81"".</li> <li>Works with Carefree 1997 and Newer model arms.</li> <li>WARNING: This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li> </li></ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R00410-301-66
"Spirit FX & Fiesta - Right Upper Main Arm  - WHITE Curved Arms Winnebago, LeSharo,  and Phasar","
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Works exclusively with Carefree Spirit and Fiesta Awnings.</li> <li>Fits Carefree OEM Curved Arm Applications for Winnebego, LeSharo, Itasca and Phasar with an awning rail to floor line height of 66"" to 70"".</li> <li>Works with Carefree 1997 and Newer model arms.</li> <li>WARNING: This replacement part requires working with the awning roller spring (s) which are under tension!</li> <li> </li></ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,R00410-311-55
